,file_name,height,id,license,width,category_id,institution_id
27441,images/264/66/263746.jpg,1000,263746,0,680,26466,0
42616,images/223/43/755511.jpg,1000,755511,0,681,22343,0
20672,images/561/54/1560362.jpg,1000,1560362,0,676,56154,0
30307,images/279/38/1898012.jpg,1000,1898012,0,678,27938,0
5630,images/107/85/1724650.jpg,1000,1724650,0,666,10785,0
39893,images/302/43/1942569.jpg,1000,1942569,1,751,30243,2
22288,images/436/63/2233889.jpg,1000,2233889,2,563,43663,4
36140,images/326/75/1679009.jpg,1000,1679009,0,680,32675,0
40200,images/322/64/886514.jpg,1000,886514,1,751,32264,2
26826,images/095/00/497356.jpg,1000,497356,0,678,9500,0
36953,images/405/65/1949953.jpg,1000,1949953,1,666,40565,2
14503,images/077/22/1371552.jpg,1000,1371552,0,739,7722,3
10617,images/605/04/1836064.jpg,1000,1836064,0,666,60504,0
22605,images/243/27/1221904.jpg,1000,1221904,0,666,24327,0
48455,images/616/20/1824557.jpg,1000,1824557,0,680,61620,0
6690,images/533/03/778104.jpg,1000,778104,0,681,53303,0
15316,images/363/54/1911782.jpg,1000,1911782,0,680,36354,0
5653,images/029/29/1925874.jpg,1000,1925874,0,680,2929,0
31965,images/530/25/651904.jpg,1000,651904,0,678,53025,0
15520,images/538/72/1986182.jpg,1000,1986182,0,681,53872,0
8220,images/447/72/215240.jpg,1000,215240,0,663,44772,0
49360,images/560/86/1207974.jpg,1000,1207974,0,673,56086,0
48851,images/199/44/47362.jpg,1000,47362,0,696,19944,0
21193,images/449/71/1805988.jpg,1000,1805988,0,676,44971,0
32545,images/066/93/336824.jpg,1000,336824,0,676,6693,0
22255,images/070/68/697459.jpg,1000,697459,0,676,7068,0
28,images/437/86/1055367.jpg,1000,1055367,0,680,43786,0
26866,images/214/20/1691307.jpg,1000,1691307,0,666,21420,0
1401,images/409/20/2046862.jpg,1000,2046862,1,747,40920,2
48004,images/117/76/300711.jpg,1000,300711,0,681,11776,0
22742,images/236/99/2033711.jpg,1000,2033711,0,739,23699,3
17890,images/349/72/2117833.jpg,1000,2117833,2,564,34972,4
17006,images/575/80/931257.jpg,1000,931257,0,674,57580,0
14729,images/400/07/387660.jpg,1000,387660,2,566,40007,4
2539,images/022/77/1300244.jpg,1000,1300244,2,569,2277,4
14495,images/449/74/698054.jpg,1000,698054,0,666,44974,0
20809,images/542/98/1974420.jpg,1000,1974420,0,666,54298,0
37297,images/263/88/1619266.jpg,1000,1619266,0,683,26388,0
11226,images/069/53/1101779.jpg,1000,1101779,0,666,6953,0
31526,images/048/46/1696747.jpg,1000,1696747,0,666,4846,0
28860,images/114/18/1839933.jpg,1000,1839933,1,751,11418,2
2098,images/488/93/1166621.jpg,1000,1166621,0,676,48893,0
43212,images/038/42/1928719.jpg,1000,1928719,0,681,3842,0
48541,images/056/17/836171.jpg,1000,836171,0,674,5617,0
2077,images/186/78/2084907.jpg,1000,2084907,0,739,18678,3
20140,images/327/49/2184565.jpg,1000,2184565,0,681,32749,0
3095,images/194/50/448528.jpg,1000,448528,0,681,19450,0
